ਮੁਸਕਰਾਹਟ புன்னகை
ਮੈਨੇਜਰ மேலாளர்
ਨੇਤਾ தலைவர்
ਘਟਨਾ நிகழ்வு
ਬ੍ਰਹਿਮੰਡ பிரபஞ்சம்
ਸਥਾਨ இடம்
ਸਥਾਨ புள்ளி
ਤਕਨੀਕ நுட்பம்
ਵਿਕਾਸ வளர்ச்சி
ਭਾਰਤੀ இந்தியன்
ਸੰਸਥਾ நிறுவனம்
ਤਕਨਾਲੋਜੀ தொழில்நுட்பம்
ਰਾਸ਼ਟਰੀ தேசிய
ਪ੍ਰਕਾਸ਼ਨ வெளியீடு
ਰਵਾਨਗੀ புறப்படு
ਵਿਭਾਗ துறை
ਆਗਮਨ வருகை
ਖੰਡ பிரிவு
ਸਤਿਕਾਰ அன்புடன்
ਮੁਲਾਂਕਣ மதிப்பீடு
ਅਨੁਕੂਲਤਾ இடமளிக்க
ਪ੍ਰਬੰਧ ஏற்பாடு
ਪ੍ਰਬੰਧਨ மேலாண்மை
ਕਮੀਜ਼ சட்டை
ਪੈਂਟ கால்சட்டை
ਟਰਾਊਜ਼ਰ கால்சட்டை
ਸਕਰਟ பாவாடை
ਫਰੌਕ ஃபிராக்
ਵਿੱਚ உள்ளே
ਬਾਹਰ வெளியே
ਸੂਚਿਤ தெரிவிக்கின்றன
ਜਾਣਕਾਰੀ தகவல்
ਗੁਣਵੱਤਾ தரம்
ਮਾਤਰਾ அளவு
ਹੋਟਲ ஹோட்டல்
ਬਹਿਰਾ பணியாள்
ਮੀਨੂ பட்டியல்
ਬਟਨ பொத்தானை
ਪਲੇਟ தட்டு
ਥਾਲੀ தட்டு
ਸੇਵਾ சேவை
ਖੀਰ கீர்
ਪਨੀਰ பனீர்
ਟਾਸ டாஸ்
ਜਾਲ நிகர
ਰਾਈਫਲ துப்பாக்கி
ਜਾਲ பொறி
ਬੰਬ குண்டு
ਅਗਵਾ கடத்தல்
ਰਿਸ਼ਵਤ கையூட்டு
ਧਮਕੀ அச்சுறுத்துகின்றனர்
ਵਰਣਮਾਲਾ எழுத்துக்கள்
ਗਿਣਤੀ எண்
ਗਣਨਾ கணக்கிட
ਕੋਹਿਮਾ கோஹிமா
ਮੇਘਾਲਿਆ மேகாலயா
ਸ਼ਿਲਾਂਗ ஷில்லாங்
ਪ੍ਰੋਜੈਕਟ திட்டம்
ਟ੍ਰੈਕ மலையேற்றம்
ਨਾਬਾਲਗ சிறிய
ਈਮੇਲ மின்னஞ்சல்
ਤੱਥ உண்மை
ਡਾਟਾ தகவல்கள்
ਸ਼ਾਮਲ கூட்டு
ਉੱਤਮ மேலான
ਘਟੀਆ தாழ்வான
ਭਰੋਸਾ நம்பிக்கை
ਕਰਜ਼ਾ கடன்
ਢਾਹੁਣਾ இடிப்பு
ਢਹਿ சரிவு
ਕੋਈ யாரோ
ਇਜਾਜ਼ਤ அனுமதிக்க
ਪਰਮਿਟ அனுமதி
ਯੋਗਤਾ தகுதி
ਡਿਗਰੀ பட்டம்
ਜੋਤਿਸ਼ ஜோதிடம்
ਜਾਰੀ தொடரவும்
ਅਸਵੀਕਾਰ நிராகரிக்கின்றன
ਜਵਾਬ பதில்
ਸਵਾਲ கேள்வி
ਸਹਾਇਕ உதவியாளர்
ਰੋਬੋਟ ரோபோ
ਫੁੱਟਬਾਲ கால்பந்து
ਹਾਕੀ ஹாக்கி
ਮੁੱਕੇਬਾਜ਼ੀ குத்துச்சண்டை
ਕੋਟੀ ஜாக்கெட்
ਸਵੈਟਰ ஸ்வெட்டர்
ਸੰਦ கருவி
ਨਕਸ਼ਾ வரைபடம்
ਮਲਾਹ மாலுமி
ਜਾਤ சாதி
ਧਰਮ மதம்
ਖੇਤਰ பிராந்தியம்
ਪਿਛੋਕੜ பின்னணி
ਪਹਿਰਾਵਾ ஆடை
ਕੱਪੜੇ ஆடை
ਉੱਨ கம்பளி
ਭੇਡ ஆடுகள்
ਵ੍ਹੇਲ திமிங்கிலம்
ਸ਼ਾਰਕ சுறா
ਕੱਛੂ ஆமை
ਕੁਕੜੀ கோழி
ਕਪਾਹ பருத்தி
ਗੈਰਹਾਜ਼ਰ இல்லாத
ਅਫਵਾਹ வதந்தி
ਬ੍ਰਿਟੇਨ பிரிட்டன்
ਇੰਗਲੈਂਡ இங்கிலாந்து
ਕਿਸਾਨ உழவர்
ਖੇਤੀ விவசாயம்
ਅੰਡੇ முட்டை
ਜੂਸ சாறு
ਮੱਖਣ வெண்ணெய்
ਧੀ மகள்
ਜੁੜਵਾਂ இரட்டையர்கள்
ਮਗਰਮੱਛ முதலை
ਲੋਕ மக்கள்
ਸਿੰਗਲ ஒற்றை
ਇਕੱਲਾ தனியாக
ਡੁਪਲੀਕੇਟ நகல்
ਉਹੀ அதே
ਵੱਖਰਾ வெவ்வேறு
ਸੌ நூறு
ਹਜ਼ਾਰ ஆயிரம்
ਮੇਰਾ என்னுடையது
ਪਲਾਟ சதி
ਕਿਰਾਇਆ வாடகை
ਮਾਲਕ உரிமையாளர்
ਨੌਕਰਾਣੀ பணிப்பெண்
ਪਕਾਉਣਾ சமைக்க
ਗੋਲੀਆਂ மாத்திரைகள்
ਦਵਾਈ மருந்து
ਪੰਜਾਹ ஐம்பது
ਵੀਹ இருபது
ਸੱਤਰ எழுபது
ਸੰਪਰਦਾਵਾਂ மதப்பிரிவுகள்
ਬਰਫ਼ பனி
ਖੰਭ இறக்கைகள்
ਚੜ੍ਹਨਾ ஏற
ਮੁਫ਼ਤ இலவசம்
ਮਹਿੰਗਾ விலையுயர்ந்த
ਮਹਿੰਗਾ விலையுயர்ந்த
ਸਸਤੇ மலிவான
ਸ਼ਾਨਦਾਰ அற்புத
ਧੂੜ தூசி
ਮੱਕੜੀ சிலந்தி
ਸਲਾਈਡ ஸ்லைடு
ਸਲਿੱਪ நழுவும்
ਬਕਾਇਆ கடன்பட்டுள்ளது
ਅਧਿਕਾਰ உரிமைகள்
ਮੰਗ கோரிக்கை
ਸਪਲਾਈ விநியோகி
ਵਿੱਤ நிதி
ਇਤਿਹਾਸ வரலாறு
ਭੂਗੋਲ நிலவியல்
ਕੈਮਿਸਟਰੀ வேதியியல்
ਇੰਜੀਨੀਅਰਿੰਗ பொறியியல்
ਘੰਟੀ மணி
ਤਲਵਾਰ வாள்
ਤਾਜ கிரீடம்
ਰਾਜਾ அரசன்
ਰਾਣੀ ராணி
ਰਾਜਕੁਮਾਰ இளவரசன்
ਰਾਜਕੁਮਾਰੀ இளவரசி
ਅਮੀਰ செல்வந்தர்
ਗਰੀਬੀ வறுமை
ਬੇਰੁਜ਼ਗਾਰੀ வேலையின்மை
ਮਹਿੰਗਾਈ வீக்கம்
ਕੀਮਤ விலை
ਤੋਹਫ਼ਾ பரிசு
ਕਾਰੋਬਾਰ வணிக
ਮੌਜੂਦ தற்போது
ਬੀਤੇ கடந்த
ਭਵਿੱਖ எதிர்காலம்
ਲਿਫਟ தூக்கி
ਲੰਬਾ உயரமான
ਛੋਟਾ சிறிய
ਵੱਡਾ பெரிய
ਵਿਸ਼ਾਲ பிரம்மாண்டமான
ਵਿਸ਼ਾਲ மாபெரும்
ਚਰਬੀ கொழுப்பு
ਪਤਲਾ மெல்லிய
ਪਤਲਾ ஒல்லியான
ਫਿੱਟ பொருத்தம்
ਸਿਹਤਮੰਦ ஆரோக்கியமான
ਕਰੋੜ கோடி
ਲੱਖ லட்சம்
ਗੱਪ கிசுகிசு
ਸਮੱਗਰੀ மூலப்பொருள்
ਮਸਾਲੇ மசாலா
ਮੇਲਾ நியாயமான
ਖ਼ਾਨਦਾਨੀ பரம்பரை
ਵਾਰਸ வாரிசு
ਬੱਚਾ குழந்தை
ਬਾਲਗ வயதுவந்தோர்
ਨੌਜਵਾਨ இளம்
ਨੌਜਵਾਨ இளமை
ਸੀਨੀਅਰ மூத்தவர்
ਬਜ਼ੁਰਗ வயதானவர்கள்
ਪ੍ਰੋਫੈਸਰ பேராசிரியர்
ਸਕੈਚ ஓவியம்
ਹੈਲੀਕਾਪਟਰ ஹெலிகாப்டர்
ਪ੍ਰਕਿਰਿਆ செயல்முறை
ਸਫਲਤਾ வெற்றி
ਫੇਲ தோல்வி
ਉੱਤਮਤਾ சிறப்பு
ਦੌੜ இனம்
ਜੈਵਲਿਨ ஈட்டி
ਡਾਕ அஞ்சல்
ਸੁਨੇਹਾ செய்தி
ਪਾਸ பாஸ்
ਗੇਂਦ பந்து
ਦਸਤਕ தட்டுங்கள்
ਹੁੱਕ கொக்கி
ਸਿੰਗ கொம்பு
ਸੁਜ਼ੂਕੀ சுசுகி
ਟਾਟਾ டாடா
ਵੋਲਵੋ வால்வோ
ਹੌਂਡਾ ஹோண்டா
ਟੇਸਲਾ டெஸ்லா
ਚੀਤਾ சிறுத்தை
ਚੀਤਾ சிறுத்தை
ਬਾਂਦਰ குரங்குகள்
ਗੂਗਲ கூகிள்
ਕਿਰਿਆ வினைச்சொல்
ਨਾਂਵ பெயர்ச்சொல்
ਵਿਸ਼ੇਸ਼ਣ பெயரடை
ਹਿੰਦੀ இந்தி
ਅੰਗਰੇਜ਼ੀ ஆங்கிலம்
ਤਾਮਿਲ தமிழ்
ਪੰਜਾਬ ਤਾਮਿਲ
ਪੰਜਾਬੀ பஞ்சாபி
ਹਿਮਾਲਿਆ இமயமலை
ਤਿਉਹਾਰ விருந்து
ਸਵੀਡਨ ஸ்வீடன்
ਨੀਦਰਲੈਂਡ நெதர்லாந்து
ਕੋਰੀਆ கொரியா
ਕੁਦਰਤੀ இயற்கை
ਝੂਠਾ பொய்யர்
ਕੇਦਾਰਨਾਥ கேதார்நாத்
ਬਦਰੀਨਾਥ பத்ரிநாத்
ਸਪੇਨ ஸ்பெயின்
ਸਪੇਨੀ ஸ்பானிஷ்
ਤੇਜ਼ வேகமாக
ਕਾਹਲੀ அவசரம்
ਰੇਤ மணல்
ਪਿਆਰਾ அழகான
ਤਣਾਅ பதற்றம்
ਦਬਾਅ அழுத்தம்
ਸਮਰਪਣ சரணடைதல்
ਮਿਲੋ சந்திக்க
ਚਟਣੀ சாஸ்
ਮਿਰਚ மிளகு
ਧਨੀਆ கொத்தமல்லி
ਸੂਪ சூப்
ਤੁਲਸੀ துளசி
ਜੀਰਾ சீரகம்
ਲਸਣ பூண்டு
ਅਦਰਕ இஞ்சி
ਪੀਜ਼ਾ பீஸ்ஸா
ਪਾਸਤਾ பாஸ்தா
ਟੌਪਿੰਗਜ਼ டாப்பிங்ஸ்
ਪਨੀਰ பாலாடைக்கட்டி
ਮੈਕਸੀਕੋ மெக்சிகோ
ਮੋਰੋਕੋ மொராக்கோ
ਧਿਆਨ கவனம்
ਮਕੈਨੀਕਲ இயந்திரவியல்
ਐਨੀਮੇ அசையும்
ਕਾਰਟੂਨ கார்ட்டூன்
ਲੜੀ தொடர்
ਇਤਿਹਾਸਕ வரலாற்று
ਇੰਟਰਵਿਊ நேர்காணல்
ਫੇਸਬੁੱਕ முகநூல்
ਕੈਰੀਅਰ தொழில்
ਮੁੱਠੀ முஷ்டி
ਤਿਉਹਾਰ திருவிழா
ਮੌਕੇ விழாவில்
ਵਾਤਾਵਰਣ சூழல்
ਕੁਦਰਤ இயற்கை
ਮਦਦ உதவி
ਪਾਓ செருகு
ਓਹਲੇ மறைக்க
ਬਚਾਅ மீட்பு
ਤਰਲ திரவ
ਠੋਸ திடமான
ਤਾਮਿਲ தமிழ்
